USINA_Leitura.Gerador_EnergiaFornecidakVArh,USINA_750_862,4x,13615,,Undesignated
USINA_Leitura.TensaoDC,USINA_750_862,4x,13616,,Undesignated
Escala_Grafico,SuperSEP,LW,1500,,32-bit Float
Site_EngeSEP,SuperSEP,LW,12900,www.engesep.com.br,Undesignated
Tag_Zoom,SuperSEP,LB,12823,test zoom,Undesignated
Tag_zoom_a,SuperSEP,LW,12825,,Undesignated
0,1,2,3,4,5
UG01_Comandos.Operacao_Emergencia_Local,UG01,1x,20289,,Bit
UG01_Comandos.Operacao_Emergencia_SuperSEP,UG01,1x,20290,,Bit
UG01_Comandos.Operacao_Emergencia_UHRV,UG01,1x,20291,,Bit
UG01_Comandos.Operacao_Emergencia_UHLM,UG01,1x,20292,,Bit
UG01_Comandos.Operacao_ModoAuto,UG01,1x,20293,,Bit
UG01_Comandos.Operacao_ModoManual,UG01,1x,20294,,Bit
UG01_Comandos.Operacao_PartidaReligamento,UG01,1x,20295,,Bit
UG01_Comandos.Operacao_PartidaManual,UG01,1x,20296,,Bit
UG01_Comandos.Operacao_ParadaTripAgua,UG01,1x,20297,,Bit
UG01_Comandos.Operacao_ParadaTripEletrico,UG01,1x,20298,,Bit
UG01_Comandos.Operacao_ParadaTripMecanico,UG01,1x,20299,,Bit
UG01_Comandos.Operacao_ParadaTripHidraulico,UG01,1x,20300,,Bit
UG01_Comandos.Operacao_ParadaNormal,UG01,1x,20301,,Bit
UG01_Comandos.Operacao_ParadaEmergenciaLocal,UG01,1x,20302,,Bit
UG01_Comandos.Operacao_ParadaEmergenciaSuperSEP,UG01,1x,20303,,Bit
UG01_Comandos.Operacao_ParadaEmergenciaUHRV,UG01,1x,20304,,Bit
UG01_Comandos.Operacao_ParadaEmergenciaUHLM,UG01,1x,20305,,Bit
UG01_Comandos.Operacao_ParadaAbertura52G,UG01,1x,20306,,Bit
UG01_Comandos.Operacao_ParadaInfoValida,UG01,1x,20307,,Bit
UG01_Comandos.Operacao_BloqueioAtuado,UG01,1x,20308,,Bit
UG01_Comandos.Operacao_PresencaTensaoSA,UG01,1x,20309,,Bit
UG01_Comandos.Reserva_20310,UG01,1x,20310,,Bit
UG01_Comandos.Reserva_20311,UG01,1x,20311,,Bit
UG01_Comandos.Reserva_20312,UG01,1x,20312,,Bit
UG01_Comandos.Reserva_20313,UG01,1x,20313,,Bit
UG01_Comandos.Reserva_20314,UG01,1x,20314,,Bit
UG01_Comandos.Reserva_20315,UG01,1x,20315,,Bit
UG01_Comandos.Reserva_20316,UG01,1x,20316,,Bit
UG01_Comandos.Reserva_20317,UG01,1x,20317,,Bit
UG01_Comandos.Reserva_20318,UG01,1x,20318,,Bit
UG01_Comandos.Reserva_20319,UG01,1x,20319,,Bit
UG01_Comandos.Reserva_20320,UG01,1x,20320,,Bit
UG01_Comandos.ModoAuto_AlvoUP,UG01,1x,20321,,Bit
UG01_Comandos.ModoAuto_AlvoUPGM,UG01,1x,20322,,Bit
UG01_Comandos.ModoAuto_AlvoUMD,UG01,1x,20323,,Bit
UG01_Comandos.ModoAuto_AlvoUPS,UG01,1x,20324,,Bit
UG01_Comandos.ModoAuto_AlvoUS,UG01,1x,20325,,Bit
UG01_Comandos.ModoAuto_UP,UG01,1x,20326,,Bit
UG01_Comandos.ModoAuto_UPGM,UG01,1x,20327,,Bit
UG01_Comandos.ModoAuto_UMD,UG01,1x,20328,,Bit
UG01_Comandos.ModoAuto_UPS,UG01,1x,20329,,Bit
UG01_Comandos.ModoAuto_US,UG01,1x,20330,,Bit
UG01_Comandos.ModoAuto_Transicao,UG01,1x,20331,,Bit
UG01_Comandos.ModoAuto_TransicaoUPtoUPGM,UG01,1x,20332,,Bit
UG01_Comandos.ModoAuto_TransicaoUPGMtoUMD,UG01,1x,20333,,Bit
UG01_Comandos.ModoAuto_TransicaoUMDtoUPS,UG01,1x,20334,,Bit
UG01_Comandos.ModoAuto_TransicaoUPStoUS,UG01,1x,20335,,Bit
UG01_Comandos.ModoAuto_TransicaoUStoUPS,UG01,1x,20336,,Bit
UG01_Comandos.ModoAuto_TransicaoUPStoUMD,UG01,1x,20337,,Bit
UG01_Comandos.ModoAuto_TransicaoUMDtoUPGM,UG01,1x,20338,,Bit
UG01_Comandos.ModoAuto_TransicaoUPGMtoUP,UG01,1x,20339,,Bit
UG01_Comandos.Reserva_28340,UG01,1x,20340,,Bit
UG01_Comandos.Reserva_28341,UG01,1x,20341,,Bit
UG01_Comandos.Reserva_28342,UG01,1x,20342,,Bit
UG01_Comandos.Reserva_28343,UG01,1x,20343,,Bit
UG01_Comandos.Reserva_28344,UG01,1x,20344,,Bit
